name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Birmingham, UK",2022-04-20,16.2,6.1,10.7,16.2,4.1,9.8,4.3,66.8,0,28.6,,rain,0,0,38.2,14.8,50.7,1017.9,60.2,24.1,231.7,20.1,8,10,2022-04-20T05:59:15,2022-04-20T20:15:02,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Birmingham, UK",2022-04-21,11.6,5.4,8.5,11.6,3.4,6.8,4.7,78,0.2,23.8,,rain,0,0,39.2,21.2,64.7,1014.3,83.8,24.1,134.9,11.5,3,10,2022-04-21T05:57:06,2022-04-21T20:16:46,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Birmingham, UK",2022-04-22,14.1,4.6,9,14.1,0.5,6.9,4.9,77.2,0,47.6,,rain,0,0,47.2,28.1,49.8,1011,49.1,24.1,242.2,21,7,10,2022-04-22T05:54:58,2022-04-22T20:18:31,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Birmingham, UK",2022-04-23,12.5,7.6,9.3,12.5,4.1,7,6.2,81.1,0.7,28.6,,rain,0,0,45.8,24.5,45,1009.5,90.4,24.1,126.6,10.8,5,10,2022-04-23T05:52:51,2022-04-23T20:20:15,0.75,Overcast,Cloudy skies throughout the day.,cloudy,
"Birmingham, UK",2022-04-24,9.7,4,7.3,5.9,-0.8,3.1,3.6,78.6,0.6,47.6,,rain,0,0,55.1,33.1,56.2,1013,81,24.1,122.8,10.8,4,10,2022-04-24T05:50:45,2022-04-24T20:21:59,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Birmingham, UK",2022-04-25,10.2,3.5,6.3,10.2,-1.2,2.8,-0.3,63.4,0.2,42.9,,rain,0,0,49.4,24.8,46.8,1017.4,71.6,24.1,153.9,13.4,5,10,2022-04-25T05:48:40,2022-04-25T20:23:43,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Birmingham, UK",2022-04-26,10.2,0.4,5.2,10.2,-2.7,2.8,0.4,72.5,1.3,42.9,,rain,0,0,26.4,13.3,79.7,1017.4,65.7,23.2,184.5,15.8,5,10,2022-04-26T05:46:37,2022-04-26T20:25:27,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Birmingham, UK",2022-04-27,11.3,1.3,6.4,11.3,0.8,5.5,0.8,69.4,0.6,47.6,,rain,0,0,21.6,15.8,251.6,1019,46.3,24,235.5,20.5,7,10,2022-04-27T05:44:34,2022-04-27T20:27:11,0.95,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain.,rain,
"Birmingham, UK",2022-04-28,10.4,2.5,6.8,10.4,0.6,5.1,3,77.5,3.4,23.8,,rain,0,0,28.1,17.6,203.3,1021,65.8,22.5,216.2,18.9,6,10,2022-04-28T05:42:33,2022-04-28T20:28:54,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Birmingham, UK",2022-04-29,8,4.3,6.5,5.6,2.3,4,2.1,74.6,0.2,42.9,,rain,0,0,29.5,15.5,82.7,1026.1,93.9,23.6,94.6,7.7,2,10,2022-04-29T05:40:32,2022-04-29T20:30:37,1,Overcast,Cloudy skies throughout the day.,cloudy,
"Birmingham, UK",2022-04-30,10.3,2.5,6.5,10.3,0.2,4.6,-0.2,63.5,0,23.8,,,0,0,21.5,11.2,135.5,1029.1,96.7,24.1,192.4,16.6,6,10,2022-04-30T05:38:34,2022-04-30T20:32:20,1,Overcast,Cloudy skies throughout the day.,cloudy,
