name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Manchester, UK",2022-04-19,13,6.2,9.4,13,5.6,9.3,4.9,73.8,2.2,28.6,,rain,0,0,26.6,10.4,231.7,1017.6,77.2,24.1,211.3,18.2,8,10,2022-04-19T06:00:22,2022-04-19T20:17:08,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Manchester, UK",2022-04-20,16.2,6.2,11.1,16.2,6.2,11,4.8,67.6,0,33.3,,,0,0,25.6,10.1,51.4,1018.6,45.1,24.1,254.5,21.9,8,10,2022-04-20T05:58:08,2022-04-20T20:18:57,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Manchester, UK",2022-04-21,12.5,6,9.4,12.5,3.9,8.7,3.4,66.6,0.2,19,,rain,0,0,42.1,19.4,72.6,1015.3,66.2,24.1,165.8,14.5,6,10,2022-04-21T05:55:54,2022-04-21T20:20:46,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Manchester, UK",2022-04-22,13.9,5.9,9.3,13.9,2.5,7.3,4,71.1,0,28.6,,,0,0,43.6,27,62,1013,47.8,24.1,238.7,20.4,7,10,2022-04-22T05:53:42,2022-04-22T20:22:35,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Manchester, UK",2022-04-23,12.3,8,9.4,12.3,4.9,7.5,5.7,78,0.3,23.8,,rain,0,0,46.4,23.4,55.9,1011.8,89.7,23.7,136.2,11.6,5,10,2022-04-23T05:51:30,2022-04-23T20:24:24,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Manchester, UK",2022-04-24,10.2,4.4,7.9,10.2,-0.1,4.2,2,67.6,0.3,33.3,,rain,0,0,53.6,31.3,66.4,1015.8,91.5,24.1,219.3,19.2,6,10,2022-04-24T05:49:19,2022-04-24T20:26:13,0.81,Overcast,Cloudy skies throughout the day.,wind,
"Manchester, UK",2022-04-25,10.1,4.5,7,10.1,0.7,4,0,61.8,0.5,28.6,,rain,0,0,44.8,22.3,51,1019,79.5,24,179.3,15.6,6,10,2022-04-25T05:47:10,2022-04-25T20:28:02,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Manchester, UK",2022-04-26,10.2,1.8,6.2,10.2,-0.5,4.2,-0.7,62.6,1,38.1,,rain,0,0,29,15.1,41.4,1018.1,39.8,23.8,193.3,16.7,4,10,2022-04-26T05:45:01,2022-04-26T20:29:50,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Manchester, UK",2022-04-27,11.7,2.9,7.3,11.7,2.9,6.9,0.2,62.4,0.6,42.9,,rain,0,0,19.1,14.8,264.1,1018.9,26.4,23.8,253.9,21.8,7,10,2022-04-27T05:42:54,2022-04-27T20:31:39,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Manchester, UK",2022-04-28,10.9,4.2,7.3,10.9,4.2,7,3.1,75.5,1.8,28.6,,rain,0,0,18.4,13.7,113.4,1020.6,71.6,22.1,172.9,14.9,5,10,2022-04-28T05:40:48,2022-04-28T20:33:27,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Manchester, UK",2022-04-29,9.3,5,7,7.2,2.3,4.9,0.9,66.8,1,38.1,,rain,0,0,27.4,14.8,59,1026.4,90.9,24.1,190.3,16.3,5,10,2022-04-29T05:38:43,2022-04-29T20:35:15,1,Overcast,Cloudy skies throughout the day.,cloudy,
"Manchester, UK",2022-04-30,10.6,3.9,7.2,10.6,2.2,5.7,-0.1,60.5,0,28.6,,,0,0,21.6,14,150.9,1028.9,95.2,24.1,202.5,17.5,6,10,2022-04-30T05:36:39,2022-04-30T20:37:03,1,Overcast,Cloudy skies throughout the day.,cloudy,
